date,open,high,low,close,volume
1970-01-01 00:28:34.003200,91.5900,92.0000,90.6500,91.4100,2922819
1970-01-01 00:28:33.916800,92.5900,93.2300,91.4185,92.0200,3813358
1970-01-01 00:28:33.830400,92.9800,94.0400,92.7850,93.0000,3729824
1970-01-01 00:28:33.744000,92.5400,92.7078,91.7000,92.6200,2992931
1970-01-01 00:28:33.484800,91.2400,92.4000,91.1000,92.2700,3588522
1970-01-01 00:28:33.398400,91.4000,92.4300,90.8700,91.4800,3069409
1970-01-01 00:28:33.312000,91.7300,92.1050,90.3302,90.9600,3421571
1970-01-01 00:28:33.225600,90.9400,91.3300,90.1700,91.0500,3036971
1970-01-01 00:28:33.139200,91.9800,92.7750,90.7465,91.3000,3675020
1970-01-01 00:28:32.880000,92.7600,92.8100,91.1450,91.3100,3590782
1970-01-01 00:28:32.793600,92.8400,93.5600,92.4800,93.1800,2993671
1970-01-01 00:28:32.707200,91.7800,92.7100,90.5700,92.6300,3494855
1970-01-01 00:28:32.620800,92.1000,93.2000,92.0000,92.6100,3976387
1970-01-01 00:28:32.534400,91.2000,92.8900,91.2000,91.9300,3614979
1970-01-01 00:28:32.275200,90.4300,91.4200,89.5400,91.0300,3511897
1970-01-01 00:28:32.188800,94.4900,95.6667,90.2300,90.5400,5849591
1970-01-01 00:28:32.102400,93.3400,94.7000,92.5000,93.1900,6035521
1970-01-01 00:28:32.016000,93.1000,94.4200,91.9000,92.8400,8857142
1970-01-01 00:28:31.929600,91.0500,94.3400,88.2300,94.0200,12974031
1970-01-01 00:28:31.584000,104.6100,106.2600,104.5900,106.0700,4386102
1970-01-01 00:28:31.497600,103.0000,104.7647,102.9900,104.5900,3881023
1970-01-01 00:28:31.411200,104.0600,104.6700,102.4000,102.6300,6086736
1970-01-01 00:28:31.324800,105.9000,106.8100,104.7800,104.8400,5585278
1970-01-01 00:28:31.065600,107.6000,108.1200,106.7500,106.7800,4449245
1970-01-01 00:28:30.979200,108.2000,109.1900,107.7900,107.8700,6594170
1970-01-01 00:28:30.892800,104.9900,109.0999,104.4400,108.1100,7015254
1970-01-01 00:28:30.806400,105.7900,107.0000,104.5530,105.3200,5842707
1970-01-01 00:28:30.720000,104.5300,106.2900,104.4200,104.8000,5537228
1970-01-01 00:28:30.460800,103.0000,105.5400,102.7800,105.0000,26838610
1970-01-01 00:28:30.374400,103.3600,104.5400,102.2400,103.1200,6910244
1970-01-01 00:28:30.288000,99.7200,104.0900,99.2000,104.0700,10785045
1970-01-01 00:28:30.201600,100.2000,100.8500,97.1500,98.7200,13941894
1970-01-01 00:28:30.115200,93.9800,94.4600,93.4600,94.0500,3510706
1970-01-01 00:28:29.856000,93.4900,94.7400,93.1800,93.9000,4118618
1970-01-01 00:28:29.769600,93.0500,93.3000,92.1050,92.6200,3136796
1970-01-01 00:28:29.683200,93.4900,93.6900,91.9300,92.5200,3002829
1970-01-01 00:28:29.596800,91.6700,93.3900,91.5700,92.6900,4390990
1970-01-01 00:28:29.510400,91.1000,91.8500,90.4765,91.4400,5584244
1970-01-01 00:28:29.251200,92.0400,92.0400,90.8900,91.8600,3398066
1970-01-01 00:28:29.164800,92.0000,92.2892,91.3600,92.1200,5158385
1970-01-01 00:28:29.078400,92.0000,92.6300,91.4150,91.4600,2962410
1970-01-01 00:28:28.992000,92.0000,92.3500,91.4800,92.3000,2288509
1970-01-01 00:28:28.905600,92.1800,92.5000,91.4400,91.8200,3272899
1970-01-01 00:28:28.646400,92.3900,92.9400,91.9100,92.5800,3155887
1970-01-01 00:28:28.560000,91.5600,92.4200,91.1400,92.2300,4190480
1970-01-01 00:28:28.473600,91.6300,91.9700,90.9800,91.7100,3399345
1970-01-01 00:28:28.387200,91.1000,92.4900,90.5200,91.8200,4326602
1970-01-01 00:28:28.041600,91.8600,92.0500,91.2050,91.2500,4469540
1970-01-01 00:28:27.955200,91.5000,92.5600,91.1100,92.3800,3812207
1970-01-01 00:28:27.868800,93.0000,93.2400,92.1700,92.4200,5036865
1970-01-01 00:28:27.782400,93.3000,93.9900,91.3900,92.6600,4595564
1970-01-01 00:28:27.696000,93.1200,95.0600,93.0500,94.6300,4091695
1970-01-01 00:28:27.436800,93.2000,93.3000,92.3900,92.9000,3669089
1970-01-01 00:28:27.350400,94.1500,94.3800,92.7100,93.2000,3964295
1970-01-01 00:28:27.264000,94.6000,94.7100,93.5000,93.8400,3780861
1970-01-01 00:28:27.177600,92.7400,93.8500,92.4000,93.7600,3727668
1970-01-01 00:28:27.091200,94.2500,94.2500,92.5800,92.7300,4476887
1970-01-01 00:28:26.832000,95.2800,95.4000,94.2900,94.8700,3712641
1970-01-01 00:28:26.745600,94.3900,96.0200,93.9400,95.9100,3297348
1970-01-01 00:28:26.659200,95.9400,95.9400,94.1600,94.3500,6906829
1970-01-01 00:28:26.572800,96.1700,96.5100,94.7800,95.7500,3200456
1970-01-01 00:28:26.486400,96.0000,96.8900,95.4400,96.3800,3799983
1970-01-01 00:28:26.227200,96.2200,96.9000,95.7900,95.9900,3720173
1970-01-01 00:28:26.140800,93.7800,96.2800,93.6100,95.9800,6122942
1970-01-01 00:28:26.054400,96.6400,97.0400,92.7300,93.2400,9321540
1970-01-01 00:28:25.968000,100.8600,100.8600,94.1100,96.1000,27210880
1970-01-01 00:28:25.881600,108.5000,109.4050,107.4000,108.0200,4916060
1970-01-01 00:28:25.622400,106.7400,108.3600,105.1000,107.7600,3269495
1970-01-01 00:28:25.536000,106.3300,106.7400,105.3410,106.4400,2493062
1970-01-01 00:28:25.449600,106.8500,107.6600,105.5300,106.0800,2639507
1970-01-01 00:28:25.363200,107.6700,108.0700,106.6800,107.6400,3036611
1970-01-01 00:28:25.017600,109.4200,110.1600,107.8900,108.1200,2918538
1970-01-01 00:28:24.931200,108.3000,109.0000,107.2100,108.9200,2685752
1970-01-01 00:28:24.844800,109.0200,109.1200,107.8400,108.3000,1999818
1970-01-01 00:28:24.758400,108.2000,109.3000,107.3500,109.1000,2457998
1970-01-01 00:28:24.672000,108.2600,108.9600,107.5900,108.8600,2119575
1970-01-01 00:28:24.412800,107.9800,109.4900,107.5500,108.5900,1646452
1970-01-01 00:28:24.326400,108.0800,109.3400,107.7050,108.1700,2775925
1970-01-01 00:28:24.240000,109.2300,109.4600,106.8000,107.7900,2966239
1970-01-01 00:28:24.153600,108.6200,110.6600,108.4500,110.0000,2776824
1970-01-01 00:28:23.808000,109.5000,109.9599,108.7450,109.3200,2414408
1970-01-01 00:28:23.721600,108.6600,110.1800,108.6500,109.6900,2809576
1970-01-01 00:28:23.635200,108.0000,109.1000,107.6800,108.7400,2428836
1970-01-01 00:28:23.548800,106.3000,108.5900,106.2700,108.1100,2786348
1970-01-01 00:28:23.203200,105.8800,107.4050,105.7500,106.3300,2281685
1970-01-01 00:28:23.116800,104.2200,105.6300,104.1100,105.5600,2194162
1970-01-01 00:28:23.030400,105.8000,106.2700,103.6300,103.6700,3247439
1970-01-01 00:28:22.944000,106.3700,106.7450,105.8900,106.2500,2634309
1970-01-01 00:28:22.857600,107.0000,107.3000,105.6600,105.8700,3023962
1970-01-01 00:28:22.598400,106.3500,107.5300,105.9600,106.9800,11083431
1970-01-01 00:28:22.512000,104.9800,107.6300,104.9600,107.0400,5764490
1970-01-01 00:28:22.425600,102.0000,104.2100,99.7100,104.1900,5971953
1970-01-01 00:28:22.339200,103.5900,103.7250,102.3400,102.5600,4674523
1970-01-01 00:28:22.252800,103.7000,104.2100,102.7232,103.1600,3485900
1970-01-01 00:28:21.993600,103.3700,104.9100,103.0000,103.3700,3444015
1970-01-01 00:28:21.907200,103.0500,103.6300,102.4000,103.2800,2367807
1970-01-01 00:28:21.820800,101.6700,103.5800,101.6300,102.7900,3563605
1970-01-01 00:28:21.734400,102.7500,103.0000,101.4400,101.6900,3073380
1970-01-01 00:28:21.648000,100.3400,103.7800,100.2300,103.4400,5030211
1970-01-01 00:28:21.388800,98.8400,100.2100,98.1600,99.8500,2783823
1970-01-01 00:28:21.302400,98.6400,100.0800,98.2600,99.0700,6012541
1970-01-01 00:28:21.216000,99.2500,99.4500,98.1200,98.4700,2581644
1970-01-01 00:28:21.129600,96.9200,99.1000,96.5400,98.5100,4334614
1970-01-01 00:28:21.043200,96.0000,97.4600,95.9400,97.0700,3293901
1970-01-01 00:28:20.784000,95.3000,95.9800,95.1209,95.9500,1059854
1970-01-01 00:28:20.611200,94.9700,95.7800,94.6300,95.3700,2394280
1970-01-01 00:28:20.524800,94.6200,94.7600,93.7400,93.9900,2708675
1970-01-01 00:28:20.438400,95.0200,95.2500,94.4600,94.9800,3333563
1970-01-01 00:28:20.179200,96.2600,96.3500,95.0100,95.3400,7587195
1970-01-01 00:28:20.092800,95.8900,96.4500,94.9100,95.7100,3061753
1970-01-01 00:28:20.006400,95.4400,97.2036,95.4400,96.8200,3790178
1970-01-01 00:28:19.920000,94.0000,95.4900,93.9300,94.9700,3321448
1970-01-01 00:28:19.833600,92.7000,93.1300,91.9150,92.6900,2133210
1970-01-01 00:28:19.574400,92.0000,93.0600,91.6622,92.8100,2395590
1970-01-01 00:28:19.488000,92.5800,93.2100,91.6500,91.7000,2124244
1970-01-01 00:28:19.401600,93.4000,93.4000,91.2700,92.3200,3463636
1970-01-01 00:28:19.315200,92.9200,93.4500,92.5703,93.1500,2204166
1970-01-01 00:28:19.228800,93.8300,93.9200,92.9700,93.5200,2155652
1970-01-01 00:28:18.969600,93.5200,94.8200,93.0700,93.8600,2731136
