date,open,high,low,close,volume
1634688000000,148.7000,149.7539,148.1200,149.2600,58418788
1634601600000,147.0100,149.1700,146.5500,148.7600,76378894
1634515200000,143.4450,146.8400,143.1600,146.5500,85589175
1634256000000,143.7700,144.8950,143.5100,144.8400,67940334
1634169600000,142.1100,143.8800,141.5100,143.7600,69907100
1634083200000,141.2350,141.4000,139.2000,140.9100,78762721
1633996800000,143.2300,143.2500,141.0401,141.5100,73035859
1633910400000,142.2700,144.8100,141.8100,142.8100,64452219
